total,stem,keyword,us,cpc_us,uk,cpc_uk,intent,com,co.uk,uk,net,co,io
1300,kuhnsweeklyads,kuhns weekly ads,1300,7.42,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
1300,googleadscampaign,google ads campaign,1300,40.15,0,,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
1300,googleadcenter,google ad center,1300,11.62,0,,navigational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
1300,affiliatemarketingamazon,affiliate marketing amazon,1300,6.57,0,,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
1000,semmarketingagency,sem marketing agency,1000,66.38,0,,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
1000,retargetingads,retargeting ads,1000,73.71,0,,commercial,REG,FREE?,FREE?,REG,FREE?,FREE?
1000,personalizedadvertising,personalized advertising,0,,1000,2.43,commercial,REG,FREE?,FREE?,REG,FREE?,FREE?
1000,linkedinsearchbyname,linkedin search by name,1000,3.18,0,,navigational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
1000,bingvisualsearch,bing visual search,0,,1000,3.61,informational,REG,FREE?,FREE?,FREE?,FREE?,REG
1000,advertisingid,advertising id,1000,25.19,0,,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
880,onlineadvertising,online advertising,0,,880,13.09,commercial,REG,REG,REG,REG?,REG,FREE?
880,leadgenagency,lead gen agency,0,,880,32.48,navigational,REG,FREE?,FREE?,FREE?,REG,REG
720,ppcmarketing,ppc marketing,0,,720,17.09,commercial,REG,REG,REG,REG,REG,FREE?
720,ppcagencylondon,ppc agency london,0,,720,33.17,commercial,REG,REG,REG,REG,REG,FREE?
720,etrads,etr ads,0,,720,39.97,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
720,bingadvertising,bing advertising,0,,720,12.14,informational,REG,FREE?,FREE?,FREE?,FREE?,FREE?
590,leadgenerationcompaniesuk,lead generation companies uk,0,,590,30.58,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
590,advertisingrecruitment,advertising recruitment,0,,590,8.33,commercial,REG,FREE?,FREE?,FREE?,REG,FREE?
590,advertisingcompany,advertising company,0,,590,19.33,commercial,REG,REG,REG,REG,REG,FREE?
590,adstracker,ads tracker,0,,590,5.76,commercial,REG,FREE?,FREE?,REG,REG,REG
480,ppcmarketingagency,ppc marketing agency,0,,480,63.61,commercial,REG,REG,REG?,FREE?,FREE?,FREE?
480,ppcagencymanchester,ppc agency manchester,0,,480,37.47,navigational,REG,REG?,REG,FREE?,FREE?,FREE?
480,posteradvertising,poster advertising,0,,480,31.88,commercial,REG,REG,FREE?,FREE?,FREE?,FREE?
480,posterads,poster ads,0,,480,31.88,commercial,REG,REG,FREE?,FREE?,FREE?,FREE?
480,podcastadvertising,podcast advertising,0,,480,33.68,commercial,REG,REG,FREE?,REG,REG,REG
480,leadgenerationwebsites,lead generation websites,0,,480,26.15,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
480,ecommerceppcagency,ecommerce ppc agency,0,,480,68.17,commercial,REG,REG,REG,FREE?,FREE?,FREE?
480,adsadwords,ads adwords,0,,480,39.13,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,targetedadvertising,targeted advertising,0,,390,11.64,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
390,socialmediaadvertisingagency,social media advertising agency,0,,390,30.67,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
390,skysmartads,sky smart ads,0,,390,18.35,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,ppcecommerce,ppc ecommerce,0,,390,29.3,commercial,REG,REG?,FREE?,FREE?,FREE?,FREE?
390,ppcagencyuk,ppc agency uk,0,,390,57.93,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,motheradvertisingagency,mother advertising agency,0,,390,6.13,navigational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,motheradagency,mother ad agency,0,,390,6.13,navigational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,moreaboutadvertising,more about advertising,0,,390,91.47,informational,REG,REG,FREE?,FREE?,FREE?,FREE?
390,mbadvertisingandmarketingltd,mb advertising & marketing ltd,0,,390,2.57,navigational,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,londonadvertising,london advertising,0,,390,20.32,commercial,REG,REG,REG,FREE?,FREE?,FREE?
390,leadgenerationmarketing,lead generation marketing,0,,390,27.21,commercial,REG,FREE?,FREE?,FREE?,FREE?,FREE?
390,comparethemarketadvertising,compare the market advertising,0,,390,4.87,commercial,FREE?,FREE?,FREE?,FREE?,FREE?,FREE?
390,cinemaadvertising,cinema advertising,0,,390,5.11,informational,REG,REG,FREE?,FREE?,FREE?,FREE?
390,buylinkedinfollowers,buy linkedin followers,0,,390,5.57,transactional,REG?,FREE?,FREE?,FREE?,FREE?,FREE?
